date	close	color
23-Apr-08	162.89	blue
24-Apr-08	168.94	blue
25-Apr-08	169.73	blue
28-Apr-08	172.24	blue
29-Apr-08	175.05	blue
30-Apr-08	173.95	blue
1-May-08	180.00	blue
2-May-08	180.94	blue
5-May-08	184.73	blue
6-May-08	186.66	blue
7-May-08	182.59	blue
8-May-08	185.06	blue
9-May-08	183.45	blue
12-May-08	188.16	blue
13-May-08	189.96	blue
14-May-08	186.26	blue
15-May-08	189.73	blue
16-May-08	187.62	blue
19-May-08	183.60	blue
20-May-08	185.90	blue
21-May-08	178.19	blue
22-May-08	177.05	blue
23-May-08	181.17	blue
27-May-08	186.43	blue
28-May-08	187.01	blue
29-May-08	186.69	blue
30-May-08	188.75	blue
2-Jun-08	186.10	blue
3-Jun-08	185.37	blue
4-Jun-08	185.19	blue
5-Jun-08	189.43	blue
6-Jun-08	185.64	blue
9-Jun-08	181.61	blue
10-Jun-08	185.64	blue
11-Jun-08	180.81	blue
12-Jun-08	173.26	blue
13-Jun-08	172.37	blue
16-Jun-08	176.84	blue
17-Jun-08	181.43	blue
18-Jun-08	178.75	blue
19-Jun-08	180.90	blue
20-Jun-08	175.27	blue
23-Jun-08	173.16	blue
24-Jun-08	173.25	blue
25-Jun-08	177.39	blue
26-Jun-08	168.26	blue
27-Jun-08	170.09	blue
30-Jun-08	167.44	blue
1-Jul-08	174.68	blue
2-Jul-08	168.18	blue
3-Jul-08	170.12	blue
7-Jul-08	175.16	blue
8-Jul-08	179.55	blue
9-Jul-08	174.25	blue
10-Jul-08	176.63	blue
11-Jul-08	172.58	blue
14-Jul-08	173.88	blue
15-Jul-08	169.64	blue
16-Jul-08	172.81	blue
17-Jul-08	171.81	blue
18-Jul-08	165.15	blue
21-Jul-08	166.29	blue
22-Jul-08	162.02	blue
23-Jul-08	166.26	blue
24-Jul-08	159.03	blue
25-Jul-08	162.12	blue
28-Jul-08	154.40	blue
29-Jul-08	157.08	blue
30-Jul-08	159.88	blue
31-Jul-08	158.95	blue
1-Aug-08	156.66	blue
4-Aug-08	153.23	blue
5-Aug-08	160.64	blue
6-Aug-08	164.19	blue
7-Aug-08	163.57	blue
8-Aug-08	169.55	blue
11-Aug-08	173.56	blue
12-Aug-08	176.73	blue
13-Aug-08	179.30	blue
14-Aug-08	179.32	blue
15-Aug-08	175.74	blue
18-Aug-08	175.39	blue
19-Aug-08	173.53	blue
20-Aug-08	175.84	blue
21-Aug-08	174.29	blue
22-Aug-08	176.79	blue
25-Aug-08	172.55	blue
26-Aug-08	173.64	blue
27-Aug-08	174.67	blue
28-Aug-08	173.74	blue
29-Aug-08	169.53	blue
2-Sep-08	166.19	blue
3-Sep-08	166.96	blue
4-Sep-08	161.22	blue
5-Sep-08	160.18	blue
8-Sep-08	157.92	blue
9-Sep-08	151.68	blue
10-Sep-08	151.61	blue
11-Sep-08	152.65	blue
12-Sep-08	148.94	blue
15-Sep-08	140.36	blue
16-Sep-08	139.88	blue
17-Sep-08	127.83	blue
18-Sep-08	134.09	blue
19-Sep-08	140.91	blue
22-Sep-08	131.05	blue
23-Sep-08	126.84	blue
24-Sep-08	128.71	blue
25-Sep-08	131.93	blue
26-Sep-08	128.24	blue
29-Sep-08	105.26	blue
30-Sep-08	113.66	blue
1-Oct-08	109.12	blue
2-Oct-08	100.10	blue
3-Oct-08	97.07	blue
6-Oct-08	98.14	blue
7-Oct-08	89.16	blue
8-Oct-08	89.79	blue
9-Oct-08	88.74	blue
10-Oct-08	96.80	blue
13-Oct-08	110.26	blue
14-Oct-08	104.08	blue
15-Oct-08	97.95	blue
16-Oct-08	101.89	blue
17-Oct-08	97.40	blue
20-Oct-08	98.44	blue
21-Oct-08	91.49	blue
22-Oct-08	96.87	blue
23-Oct-08	98.23	blue
24-Oct-08	96.38	blue
27-Oct-08	92.09	blue
28-Oct-08	99.91	blue
29-Oct-08	104.55	blue
30-Oct-08	111.04	blue
31-Oct-08	107.59	blue
3-Nov-08	106.96	blue
4-Nov-08	110.99	blue
5-Nov-08	103.30	blue
6-Nov-08	99.10	blue
7-Nov-08	98.24	blue
10-Nov-08	95.88	blue
11-Nov-08	94.77	blue
12-Nov-08	90.12	blue
13-Nov-08	96.44	blue
14-Nov-08	90.24	blue
17-Nov-08	88.14	blue
18-Nov-08	89.91	blue
19-Nov-08	86.29	blue
20-Nov-08	80.49	blue
21-Nov-08	82.58	blue
24-Nov-08	92.95	blue
25-Nov-08	90.80	blue
26-Nov-08	95.00	blue
27-Nov-08	95.00	blue
28-Nov-08	92.67	blue
1-Dec-08	88.93	blue
2-Dec-08	92.47	blue
3-Dec-08	95.90	blue
4-Dec-08	91.41	blue
5-Dec-08	94.00	blue
8-Dec-08	99.72	blue
9-Dec-08	100.06	blue
10-Dec-08	98.21	blue
11-Dec-08	95.00	blue
12-Dec-08	98.27	blue
15-Dec-08	94.75	blue
16-Dec-08	95.43	blue
17-Dec-08	89.16	blue
18-Dec-08	89.43	blue
19-Dec-08	90.00	blue
22-Dec-08	85.74	blue
23-Dec-08	86.38	blue
24-Dec-08	85.04	blue
25-Dec-08	85.04	blue
26-Dec-08	85.81	blue
29-Dec-08	86.61	blue
30-Dec-08	86.29	blue
31-Dec-08	85.35	blue
1-Jan-09	85.35	blue
2-Jan-09	90.75	blue
5-Jan-09	94.58	blue
6-Jan-09	93.02	blue
7-Jan-09	91.01	blue
